Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,PSH Flag Count,ACK Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Prediction,Prediction Label,Prediction Confidence
2937,5,4,113.0,255.0,113.0,0.0,22.6,50.53513629149525,255.0,0.0,63.75,127.5,125297.92305073205,3064.3513789581207,367.125,323.6146021339051,770.0,0.0,2460.0,615.0,629.8417790736548,1411.0,0.0,2898.0,966.0,343.144284521832,1358.0,720.0,0,168,136,1702.4174327545115,1361.9339462036091,0.0,255.0,36.8,84.49299773748513,7139.066666666667,2,2,2,8,0.0,40.888888888888886,22.6,63.75,0,0,0,0,64240,128,1,32,0,0,0,0,0,0,0,0,0,BENIGN,0.96
4012,6,5,98.0,10926.0,98.0,0.0,16.333333333333336,40.00833246545857,7240.0,0.0,2185.2,3245.3312927958527,2747756.7298105685,2741.774675972084,401.2000000000001,480.5676735787468,1532.0,0.0,3641.0,728.2,759.9590120526237,1954.0,0.0,3984.0,996.0,687.1200768424686,1532.0,71.0,0,200,168,1495.5134596211367,1246.2612163509473,0.0,7240.0,918.6666666666669,2254.0149766919285,5080583.515151516,2,2,3,10,0.0,1002.181818181818,16.333333333333332,2185.2,0,0,0,0,64240,128,1,32,0,0,0,0,0,0,0,0,0,BENIGN,0.74
3290,5,4,96.0,255.0,96.0,0.0,19.2,42.93250516799596,255.0,0.0,63.75,127.5,106686.9300911854,2735.562310030395,411.25,509.7281488345388,1183.0,1.0,2878.0,719.5,1134.6625048885685,2386.0,1.0,3262.0,1087.3333333333333,557.6883837174066,1591.0,488.0,0,168,136,1519.756838905775,1215.80547112462,0.0,255.0,35.1,82.94636821464819,6880.1,2,2,2,8,0.0,39.0,19.2,63.75,0,0,0,0,64240,128,1,32,0,0,0,0,0,0,0,0,0,BENIGN,0.97
3183,6,5,101.0,10926.0,101.0,0.0,16.833333333333332,41.233077336850165,7240.0,0.0,2185.2,3245.3312927958527,3464341.8158969525,3455.8592522777253,318.3,368.0422831988497,1105.0,0.0,2670.0,534.0,720.5730358541041,1740.0,0.0,3154.0,788.5,581.9705032616916,1382.0,60.0,0,200,168,1885.014137606032,1570.8451146716934,0.0,7240.0,918.9166666666669,2253.9158433242087,5080136.628787879,2,2,3,10,0.0,1002.4545454545456,16.833333333333332,2185.2,0,0,0,0,64240,128,1,32,0,0,0,0,0,0,0,0,0,BENIGN,0.74
6437,6,5,111.0,10926.0,111.0,0.0,18.5,45.3155602414888,7240.0,0.0,2185.2,3245.3312927958527,1714618.6111542643,1708.8705918906323,643.7,724.7988303277292,2240.0,1.0,5826.0,1165.2,961.3517566426972,2275.0,1.0,6402.0,1600.5,1193.2986494028503,2934.0,72.0,0,200,168,932.1112319403449,776.7593599502874,0.0,7240.0,919.75,2253.587770846543,5078657.840909091,2,2,3,10,0.0,1003.3636363636364,18.5,2185.2,0,0,0,0,64240,128,1,32,0,0,0,0,0,0,0,0,0,BENIGN,0.74
13458,8,7,106.0,10926.0,106.0,0.0,13.249999999999998,37.476659402887016,2896.0,0.0,1560.857142857143,1478.4658071315491,819735.4733244168,1114.5786892554615,961.2857142857144,2307.05344636738,8941.0,28.0,13062.0,1866.0,3171.7198804434165,8941.0,242.0,13430.0,2238.333333333333,3637.229586741352,9526.0,262.0,0,264,232,594.4419676029128,520.1367216525487,0.0,2896.0,689.5,1226.7508304460202,1504917.6,2,2,5,14,0.0,735.4666666666667,13.25,1560.857142857143,0,0,0,0,64240,128,1,32,0,0,0,0,0,0,0,0,0,BENIGN,0.91
2555,5,4,120.0,255.0,120.0,0.0,24.0,53.66563145999496,255.0,0.0,63.75,127.5,146771.0371819961,3522.504892367906,319.375,388.1233005483842,1087.0,0.0,2126.0,531.5,710.8504296498197,1503.0,0.0,2525.0,841.6666666666667,594.9170810569599,1516.0,391.0,0,168,136,1956.9471624266143,1565.5577299412917,0.0,255.0,37.5,85.22030274529656,7262.5,2,2,2,8,0.0,41.66666666666666,24.0,63.75,0,0,0,0,64240,128,1,32,0,0,0,0,0,0,0,0,0,BENIGN,0.96
2538,6,5,98.0,10926.0,98.0,0.0,16.333333333333336,40.00833246545857,7240.0,0.0,2185.2,3245.3312927958527,4343577.620173365,4334.121355397951,253.8,264.9678387192596,699.0,1.0,2235.0,447.00000000000006,556.6879736441232,1354.0,1.0,2511.0,627.75,469.1960322367045,1205.0,67.0,0,200,168,2364.066193853428,1970.0551615445236,0.0,7240.0,918.6666666666669,2254.0149766919285,5080583.515151516,2,2,3,10,0.0,1002.181818181818,16.333333333333332,2185.2,0,0,0,0,64240,128,1,32,0,0,0,0,0,0,0,0,0,BENIGN,0.74
17601,6,5,102.0,10926.0,102.0,0.0,17.0,41.641325627314025,7240.0,0.0,2185.2,3245.3312927958527,626555.3093574229,624.9644906539402,1760.1,3746.548024515367,12266.0,1.0,17091.0,3418.2,5023.899799956205,12266.0,1.0,17565.0,4391.25,6236.3988740832365,13595.0,82.0,0,200,168,340.88972217487645,284.0747684790637,0.0,7240.0,919.0,2253.8828718458285,5079988.0,2,2,3,10,0.0,1002.5454545454544,17.0,2185.2,0,0,0,0,64240,128,1,32,0,0,0,0,0,0,0,0,0,BENIGN,0.76
3529,6,5,89.0,10926.0,89.0,0.0,14.833333333333334,36.33409785128381,7240.0,0.0,2185.2,3245.3312927958527,3121280.816095211,3117.030320204024,352.9,435.58605477116816,1403.0,0.0,3315.0,663.0,934.5942970080656,2263.0,0.0,3494.0,873.5,801.3756921694094,2048.0,241.0,0,200,168,1700.198356474922,1416.8319637291015,0.0,7240.0,917.9166666666666,2254.3143468120024,5081933.174242426,2,2,3,10,0.0,1001.3636363636364,14.833333333333334,2185.2,0,0,0,0,64240,128,1,32,0,0,0,0,0,0,0,0,0,BENIGN,0.74
12114,8,7,119.0,10926.0,119.0,0.0,14.875000000000004,42.072853480599576,2896.0,0.0,1560.857142857143,1478.4658071315491,911754.9942215618,1238.2367508667658,865.2857142857141,2076.185793841546,7977.0,0.0,11523.0,1646.142857142857,2860.6268793495497,7977.0,0.0,12079.0,2013.1666666666667,3391.639156317586,8845.0,66.0,0,264,232,660.3929337956084,577.8438170711573,0.0,2896.0,690.3125,1226.3428405221764,1503916.7625000002,2,2,5,14,0.0,736.3333333333334,14.875,1560.857142857143,0,0,0,0,64240,128,1,32,0,0,0,0,0,0,0,0,0,BENIGN,0.9
2772,6,5,110.0,10926.0,110.0,0.0,18.33333333333333,44.90731195102493,7240.0,0.0,2185.2,3245.3312927958527,3981240.981240981,3968.253968253968,277.2,344.266950684107,852.0,0.0,2220.0,444.0,730.8217977044746,1684.0,0.0,2746.0,686.5,512.3895002827439,1287.0,73.0,0,200,168,2164.5021645021643,1803.751803751804,0.0,7240.0,919.6666666666666,2253.6204138445696,5078804.96969697,2,2,3,10,0.0,1003.2727272727273,18.33333333333333,2185.2,0,0,0,0,64240,128,1,32,0,0,0,0,0,0,0,0,0,BENIGN,0.74
7460,5,4,112.0,255.0,112.0,0.0,22.4,50.087922695995296,255.0,0.0,63.75,127.5,49195.71045576408,1206.4343163538874,932.5,1562.0913637080992,4714.0,0.0,6832.0,1708.0,2080.499138828629,4714.0,0.0,7435.0,2478.333333333333,3130.1644259261097,6091.0,575.0,0,168,136,670.2412868632708,536.1930294906166,0.0,255.0,36.7,84.39332517049753,7122.233333333334,2,2,2,8,0.0,40.77777777777778,22.4,63.75,0,0,0,0,64240,128,1,32,0,0,0,0,0,0,0,0,0,BENIGN,0.97
3366,6,5,113.0,10926.0,113.0,0.0,18.833333333333336,46.13205682241652,7240.0,0.0,2185.2,3245.3312927958527,3279560.3089720737,3267.97385620915,336.6,329.1896447676054,760.0,0.0,2802.0,560.4,559.7368131541823,1306.0,0.0,3330.0,832.5,795.1186494270315,1953.0,85.0,0,200,168,1782.5311942959,1485.44266191325,0.0,7240.0,919.9166666666669,2253.522594369387,5078364.083333333,2,2,3,10,0.0,1003.5454545454544,18.83333333333333,2185.2,0,0,0,0,64240,128,1,32,0,0,0,0,0,0,0,0,0,BENIGN,0.74
3291,6,5,105.0,10926.0,105.0,0.0,17.5,42.86607049870562,7240.0,0.0,2185.2,3245.3312927958527,3351868.732907931,3342.449103615922,329.1,406.6755326902381,1128.0,0.0,2714.0,542.8,756.2120734291406,1557.0,0.0,3263.0,815.75,427.3432461148766,1155.0,212.0,0,200,168,1823.154056517776,1519.2950470981464,0.0,7240.0,919.25,2253.784176365688,5079543.113636363,2,2,3,10,0.0,1002.818181818182,17.5,2185.2,0,0,0,0,64240,128,1,32,0,0,0,0,0,0,0,0,0,BENIGN,0.74
3958,6,5,118.0,10926.0,118.0,0.0,19.666666666666668,48.17329827473584,7240.0,0.0,2185.2,3245.3312927958527,2790298.130368873,2779.1814047498738,395.8,373.8486919121751,926.0,0.0,3481.0,696.2,714.168537531583,1687.0,0.0,3916.0,979.0,722.3752487454148,1956.0,229.0,0,200,168,1515.9171298635677,1263.2642748863063,0.0,7240.0,920.3333333333336,2253.360292110564,5077632.6060606055,2,2,3,10,0.0,1004.0,19.666666666666668,2185.2,0,0,0,0,64240,128,1,32,0,0,0,0,0,0,0,0,0,BENIGN,0.74
