Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,PSH Flag Count,ACK Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Prediction,Prediction Label,Prediction Confidence
41644,7,6,226.0,10926.0,226.0,0.0,32.28571428571429,85.41997090008535,5134.0,0.0,1821.0,2155.706009640461,267793.67976179044,312.169820382288,3470.333333333333,7561.380120939123,20109.0,11.0,41401.0,6900.166666666667,9881.78075888484,20109.0,335.0,41617.0,8323.4,11001.653957473847,20630.0,126.0,0,232,200,168.0914417443089,144.07837863797906,0.0,5134.0,796.5714285714284,1624.3175946691117,2638407.648351648,2,2,4,12,0.0,857.8461538461538,32.285714285714285,1821.0,0,0,0,0,64240,127,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENIGN,0.92
54247,7,6,226.0,10926.0,226.0,0.0,32.28571428571429,85.41997090008535,5134.0,0.0,1821.0,2155.706009640461,205578.18865559387,239.6445886408465,4520.583333333333,9552.707768988696,26222.0,1.0,52602.0,8767.0,12541.976016561346,26222.0,1.0,54220.0,10844.0,14236.788840886838,27072.0,86.0,0,232,200,129.03939388353274,110.60519475731378,0.0,5134.0,796.5714285714286,1624.3175946691117,2638407.648351648,2,2,4,12,0.0,857.8461538461538,32.285714285714285,1821.0,0,0,0,0,64240,127,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENIGN,0.92
10047033,4,4,386.0,487.0,386.0,0.0,96.5,193.0,487.0,0.0,121.75,243.50000000000003,86.89132403566306,0.7962549739808756,1435290.4285714286,3787519.9345508777,10024562.0,15.0,10046903.0,3348967.6666666665,5782272.006304903,10025751.0,943.0,10046944.0,3348981.333333333,5781230.896673245,10024562.0,1304.0,0,136,136,0.3981274869904378,0.3981274869904378,0.0,487.0,97.0,194.12753539876817,37685.49999999999,1,2,2,7,1.0,109.125,96.5,121.75,4,386,4,487,64240,127,1,32,21167.0,0.0,21167.0,21167.0,10024562.0,0.0,10024562.0,10024562.0,0,BENIGN,1.0
10785644,4,5,391.0,487.0,386.0,0.0,97.75,192.18112116785383,487.0,0.0,97.4,217.7930210084795,81.40450398696638,0.8344425237843934,1348205.5,3416103.012561201,9758402.0,24.0,9784178.0,3261392.6666666665,5626664.846842162,9758490.0,516.0,10785620.0,2696405.0,4731108.387953433,9758553.0,46.0,0,136,168,0.3708633439041748,0.4635791798802186,0.0,487.0,87.8,185.3230212958504,34344.62222222223,1,2,3,8,1.0,97.55555555555556,97.75,97.4,2,195,2,243,64240,127,2,32,25776.0,0.0,25776.0,25776.0,9758402.0,0.0,9758402.0,9758402.0,0,BENIGN,0.99
10990384,4,5,398.0,487.0,386.0,0.0,99.5,191.08375127153013,487.0,0.0,97.4,217.7930210084795,80.52493889203507,0.8188976836478142,1373798.0,3426997.0635781325,9811932.0,2.0,9988148.0,3329382.6666666665,5614760.643176015,9811961.0,511.0,10990359.0,2747589.75,4729973.130216659,9812239.0,2.0,0,136,168,0.3639545260656952,0.454943157582119,0.0,487.0,88.50000000000001,184.9884380771464,34220.72222222222,1,2,3,8,1.0,98.33333333333331,99.5,97.4,2,199,2,243,64240,127,2,32,176216.0,0.0,176216.0,176216.0,9811932.0,0.0,9811932.0,9811932.0,0,BENIGN,0.99
10760051,4,5,398.0,487.0,386.0,0.0,99.5,191.08375127153013,487.0,0.0,97.4,217.7930210084795,82.24868079156873,0.8364272622871397,1345006.375,3406373.321224451,9731051.0,2.0,9759045.0,3253015.0,5610239.876532642,9731144.0,723.0,10760031.0,2690007.75,4717080.26390184,9731106.0,2.0,0,136,168,0.3717454499053954,0.4646818123817443,0.0,487.0,88.50000000000001,184.9884380771464,34220.72222222222,1,2,3,8,1.0,98.33333333333331,99.5,97.4,2,199,2,243,64240,127,2,32,27994.0,0.0,27994.0,27994.0,9731051.0,0.0,9731051.0,9731051.0,0,BENIGN,0.99
11011212,4,5,400.0,487.0,386.0,0.0,100.0,190.78085158981057,487.0,0.0,97.4,217.7930210084795,80.55425687926088,0.8173487169259841,1376401.5,3496964.694052462,9987613.0,1.0,10008884.0,3336294.6666666665,5760240.429851894,9987637.0,441.0,11011180.0,2752795.0,4845922.547656397,9987774.0,1.0,0,136,168,0.3632660964115485,0.4540826205144356,0.0,487.0,88.70000000000002,184.89759928734128,34187.12222222223,1,2,3,8,1.0,98.55555555555556,100.0,97.4,2,200,2,243,64240,127,2,32,21271.0,0.0,21271.0,21271.0,9987613.0,0.0,9987613.0,9987613.0,0,BENIGN,0.99
10732275,4,5,397.0,487.0,386.0,0.0,99.25,191.23698212776037,487.0,0.0,97.4,217.7930210084795,82.36837017314596,0.8385920040252417,1341534.375,3394215.270423655,9697433.0,22.0,9731146.0,3243715.333333333,5589127.257936102,9697456.0,503.0,10732253.0,2683063.25,4699298.743370432,9697583.0,335.0,0,136,168,0.3727075573445518,0.4658844466806898,0.0,487.0,88.4,185.034651409465,34237.822222222225,1,2,3,8,1.0,98.22222222222224,99.25,97.4,2,198,2,243,64240,127,2,32,33713.0,0.0,33713.0,33713.0,9697433.0,0.0,9697433.0,9697433.0,0,BENIGN,0.99
10660162,4,5,398.0,487.0,386.0,0.0,99.5,191.08375127153013,487.0,0.0,97.4,217.7930210084795,83.01937625338152,0.8442648432547273,1332520.2500000002,3373443.981073507,9636552.0,2.0,9658939.0,3219646.333333333,5557232.545024577,9636574.0,550.0,10660137.0,2665034.25,4671154.5931552,9636703.0,2.0,0,136,168,0.3752288192243232,0.469036024030404,0.0,487.0,88.50000000000001,184.9884380771464,34220.72222222222,1,2,3,8,1.0,98.33333333333331,99.5,97.4,2,199,2,243,64240,127,2,32,22387.0,0.0,22387.0,22387.0,9636552.0,0.0,9636552.0,9636552.0,0,BENIGN,0.99
10638442,4,5,396.0,487.0,386.0,0.0,99.0,191.3913965325157,487.0,0.0,97.4,217.7930210084795,83.00087550413868,0.8459885385472798,1329805.25,3356949.571463046,9593090.0,2.0,9637624.0,3212541.333333333,5525782.199830386,9593116.0,595.0,10638409.0,2659602.25,4645355.394067095,9593144.0,2.0,0,136,168,0.3759949060210132,0.4699936325262666,0.0,487.0,88.3,185.0813935062685,34255.12222222222,1,2,3,8,1.0,98.11111111111111,99.0,97.4,2,198,2,243,64240,127,2,32,44534.0,0.0,44534.0,44534.0,9593090.0,0.0,9593090.0,9593090.0,0,BENIGN,0.99
10700346,4,5,392.0,487.0,386.0,0.0,98.0,192.02083220317527,487.0,0.0,97.4,217.7930210084795,82.14687637203508,0.8410942973245912,1337543.25,3380309.2768686865,9658841.0,54.0,9698762.0,3232920.6666666665,5565127.087289322,9658938.0,796.0,10700233.0,2675058.25,4678852.024824919,9658895.0,92.0,0,136,168,0.3738196876998183,0.4672746096247729,0.0,487.0,87.9,185.27364146640565,34326.322222222225,1,2,3,8,1.0,97.66666666666669,98.0,97.4,2,196,2,243,64240,127,2,32,39921.0,0.0,39921.0,39921.0,9658841.0,0.0,9658841.0,9658841.0,0,BENIGN,0.99
10565044,4,5,401.0,487.0,386.0,0.0,100.25,190.63118842414008,487.0,0.0,97.4,217.7930210084795,84.05076211703425,0.851865832267239,1320630.5,3331980.014794549,9521742.0,24.0,9563845.0,3187948.333333333,5485349.932719365,9521841.0,590.0,10565020.0,2641255.0,4610323.564393502,9521897.0,110.0,0,136,168,0.3786070365632173,0.4732587957040217,0.0,487.0,88.80000000000001,184.85297461015395,34170.62222222222,1,2,3,8,1.0,98.66666666666669,100.25,97.4,2,200,2,243,64240,127,2,32,42103.0,0.0,42103.0,42103.0,9521742.0,0.0,9521742.0,9521742.0,0,BENIGN,0.99
10595489,4,5,397.0,487.0,386.0,0.0,99.25,191.23698212776037,487.0,0.0,97.4,217.7930210084795,83.43173212675696,0.8494180872633627,1324436.125,3347392.943333852,9563736.0,26.0,9594163.0,3198054.333333333,5512955.828794689,9563845.0,535.0,10595463.0,2648865.75,4633338.394276232,9563792.0,75.0,0,136,168,0.3775191498948279,0.4718989373685348,0.0,487.0,88.4,185.034651409465,34237.822222222225,1,2,3,8,1.0,98.22222222222224,99.25,97.4,2,198,2,243,64240,127,2,32,30427.0,0.0,30427.0,30427.0,9563736.0,0.0,9563736.0,9563736.0,0,BENIGN,0.99
10817358,5,5,393.0,487.0,386.0,0.0,78.6,171.86855442459506,487.0,0.0,97.4,217.7930210084795,81.35073277596987,0.924440145181476,1201928.6666666667,3235018.578976596,9783636.0,25.0,10815990.0,2703997.5,4742708.737723658,9783661.0,610.0,10817332.0,2704333.0,4742429.729937317,9783692.0,1974.0,0,168,168,0.4622200725907379,0.4622200725907379,0.0,487.0,80.0,177.71156405816703,31581.4,1,2,3,9,1.0,88.0,78.6,97.4,2,196,2,243,64240,127,2,32,29656.0,0.0,29656.0,29656.0,9783636.0,0.0,9783636.0,9783636.0,0,BENIGN,0.99
10524313,4,5,398.0,487.0,386.0,0.0,99.5,191.08375127153013,487.0,0.0,97.4,217.7930210084795,84.09099957403396,0.8551627075325487,1315539.1250000002,3315157.9449427417,9474825.0,25.0,9522944.0,3174314.6666666665,5456474.33460704,9474850.0,530.0,10524288.0,2631072.0,4585786.237756618,9474897.0,58.0,0,136,168,0.3800723144589105,0.4750903930736382,0.0,487.0,88.50000000000001,184.9884380771464,34220.72222222222,1,2,3,8,1.0,98.33333333333331,99.5,97.4,2,199,2,243,64240,127,2,32,48119.0,0.0,48119.0,48119.0,9474825.0,0.0,9474825.0,9474825.0,0,BENIGN,0.99
10448656,4,5,400.0,487.0,386.0,0.0,100.0,190.78085158981057,487.0,0.0,97.4,217.7930210084795,84.89130085247328,0.861354800081465,1306082.0000000002,3287979.908162805,9397759.0,1.0,9447284.0,3149094.6666666665,5411653.88860793,9397872.0,536.0,10448632.0,2612158.0,4547305.936253025,9398020.0,1.0,0,136,168,0.3828243555917622,0.4785304444897028,0.0,487.0,88.70000000000002,184.89759928734128,34187.12222222223,1,2,3,8,1.0,98.55555555555556,100.0,97.4,2,200,2,243,64240,127,2,32,49525.0,0.0,49525.0,49525.0,9397759.0,0.0,9397759.0,9397759.0,0,BENIGN,0.99
10476820,4,5,400.0,487.0,386.0,0.0,100.0,190.78085158981057,487.0,0.0,97.4,217.7930210084795,84.66309433587672,0.8590392886391099,1309602.5,3306479.298286234,9447075.0,30.0,9475356.0,3158452.0,5446302.136480403,9447282.0,1003.0,10476790.0,2619197.5,4575756.368123745,9447247.0,219.0,0,136,168,0.3817952393951599,0.47724404924395,0.0,487.0,88.70000000000002,184.89759928734128,34187.12222222223,1,2,3,8,1.0,98.55555555555556,100.0,97.4,2,200,2,243,64240,127,2,32,28281.0,0.0,28281.0,28281.0,9447075.0,0.0,9447075.0,9447075.0,0,BENIGN,0.99
