Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.100.20-192.168.100.10-52934-80-6,192.168.100.20,52934,192.168.100.10,80,6,22/06/2026 02:53:21 AM,2024,3,5,82.0,10945.0,82.0,0.0,27.333333333333332,47.34272207354931,7240.0,0.0,2189.0,3247.5382984654702,5448122.529644269,3952.569169960474,289.1428571428571,401.17221097322135,1051.0,1.0,735.0,367.5,518.3092706097393,734.0,1.0,1930.0,482.5,463.367744525519,1051.0,59.0,0,0,0,0,104,168,1482.2134387351778,2470.355731225296,0.0,7240.0,1225.2222222222222,2565.1711335590153,6580102.944444444,1,2,0,3,7,0,0,0,1.0,1378.375,27.333333333333332,2189.0,0,0,0,0,0,0,0,0,0,0,64240,128,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.100.20-192.168.100.10-53004-80-6,192.168.100.20,53004,192.168.100.10,80,6,22/06/2026 02:53:21 AM,23405,3,6,82.0,10945.0,82.0,0.0,27.333333333333332,47.34272207354931,2896.0,0.0,1824.1666666666665,1434.5028988003705,471138.6455885495,384.53321939756466,2925.6250000000005,4178.924432280905,10425.0,4.0,19383.0,9691.5,1372.4942622830888,10662.0,8721.0,23168.0,4633.6,8561.711149063603,19879.0,4.0,0,0,0,0,104,200,128.1777397991882,256.3554795983764,0.0,2896.0,1102.7,1418.2049726483278,2011305.3444444446,1,2,0,5,8,0,0,0,2.0,1225.2222222222222,27.333333333333332,1824.1666666666667,0,0,0,11027,5,2741670,0,0,0,0,64240,128,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.100.20-192.168.100.10-53006-80-6,192.168.100.20,53006,192.168.100.10,80,6,22/06/2026 02:53:21 AM,23976,3,6,82.0,10945.0,82.0,0.0,27.333333333333332,47.34272207354931,2896.0,0.0,1824.1666666666665,1434.5028988003705,459918.25158491824,375.37537537537537,2997.0,4119.985402193279,10352.0,6.0,19383.0,9691.5,1371.0800487207157,10661.0,8722.0,23667.0,4733.4,8509.610143831502,19874.0,6.0,0,0,0,0,104,200,125.12512512512512,250.25025025025025,0.0,2896.0,1102.7,1418.2049726483278,2011305.3444444446,1,2,0,5,8,0,0,0,2.0,1225.2222222222222,27.333333333333332,1824.1666666666667,0,0,0,11027,5,2400827,0,0,0,0,64240,128,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.100.20-192.168.100.10-52994-80-6,192.168.100.20,52994,192.168.100.10,80,6,22/06/2026 02:53:21 AM,23979,3,6,82.0,10945.0,82.0,0.0,27.333333333333332,47.34272207354931,2896.0,0.0,1824.1666666666665,1434.5028988003705,459860.7114558572,375.3284123608157,2997.375,4244.515888178533,10025.0,5.0,19383.0,9691.5,491.4392129246505,10039.0,9344.0,23965.0,4793.0,8296.824814349162,19495.0,5.0,0,0,0,0,104,200,125.10947078693857,250.21894157387715,0.0,2896.0,1102.7,1418.2049726483278,2011305.3444444446,1,2,0,5,8,0,0,0,2.0,1225.2222222222222,27.333333333333332,1824.1666666666667,0,0,0,11027,5,2399260,0,0,0,0,64240,128,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.100.20-192.168.100.10-52988-80-6,192.168.100.20,52988,192.168.100.10,80,6,22/06/2026 02:53:21 AM,24531,3,6,82.0,10945.0,82.0,0.0,27.333333333333332,47.34272207354931,2896.0,0.0,1824.1666666666665,1434.5028988003705,449512.86127756716,366.8827198238963,3066.3750000000005,5291.875901187728,15599.0,6.0,19933.0,9966.5,7965.557890066458,15599.0,4334.0,24313.0,4862.6,8399.055738593477,19735.0,6.0,0,0,0,0,104,200,122.29423994129876,244.5884798825975,0.0,2896.0,1102.7,1418.2049726483278,2011305.3444444446,1,2,0,5,8,0,0,0,2.0,1225.2222222222222,27.333333333333332,1824.1666666666667,0,0,0,11027,5,2398216,0,0,0,0,64240,128,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.100.20-192.168.100.10-52976-80-6,192.168.100.20,52976,192.168.100.10,80,6,22/06/2026 02:53:21 AM,24609,3,6,82.0,10945.0,82.0,0.0,27.333333333333332,47.34272207354931,2896.0,0.0,1824.1666666666665,1434.5028988003705,448088.09785037994,365.71985858832136,3076.125,4802.834533228417,14342.0,3.0,18677.0,9338.5,7076.017559333781,14342.0,4335.0,24460.0,4892.0,8384.71180184507,19706.0,3.0,0,0,0,0,104,200,121.90661952944045,243.8132390588809,0.0,2896.0,1102.7,1418.2049726483278,2011305.3444444446,1,2,0,5,8,0,0,0,2.0,1225.2222222222222,27.333333333333332,1824.1666666666667,0,0,0,11027,5,1858900,0,0,0,0,64240,128,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.100.20-192.168.100.10-52960-80-6,192.168.100.20,52960,192.168.100.10,80,6,22/06/2026 02:53:21 AM,24716,3,6,82.0,10945.0,82.0,0.0,27.333333333333332,47.34272207354931,2896.0,0.0,1824.1666666666665,1434.5028988003705,446148.2440524357,364.1365916815019,3089.5,4902.190618197426,14343.0,4.0,18676.0,9338.0,7078.138879677341,14343.0,4333.0,24641.0,4928.2,8456.615321746638,19697.0,4.0,0,0,0,0,104,200,121.37886389383397,242.75772778766793,0.0,2896.0,1102.7,1418.2049726483278,2011305.3444444446,1,2,0,5,8,0,0,0,2.0,1225.2222222222222,27.333333333333332,1824.1666666666667,0,0,0,11027,5,1825662,0,0,0,0,64240,128,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.100.20-192.168.100.10-52938-80-6,192.168.100.20,52938,192.168.100.10,80,6,22/06/2026 02:53:21 AM,25341,3,6,82.0,10945.0,82.0,0.0,27.333333333333332,47.34272207354931,2896.0,0.0,1824.1666666666665,1434.5028988003705,435144.6272838483,355.1556765715639,3167.6250000000005,6430.247716568047,18676.0,5.0,19300.0,9650.0,12764.691613979556,18676.0,624.0,25286.0,5057.2,8456.651506358767,19842.0,5.0,0,0,0,0,104,200,118.38522552385463,236.77045104770926,0.0,2896.0,1102.7,1418.2049726483278,2011305.3444444446,1,2,0,5,8,0,0,0,2.0,1225.2222222222222,27.333333333333332,1824.1666666666667,0,0,0,11027,5,1825360,0,0,0,0,64240,128,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.100.20-192.168.100.10-53020-80-6,192.168.100.20,53020,192.168.100.10,80,6,22/06/2026 02:53:21 AM,25189,3,6,82.0,10945.0,82.0,0.0,27.333333333333332,47.34272207354931,2896.0,0.0,1824.1666666666665,1434.5028988003705,437770.4553574973,357.298820913891,3148.6249999999995,4010.1266078160534,10279.0,142.0,19383.0,9691.5,1372.4942622830888,10662.0,8721.0,24806.0,4961.2,8382.252453845565,19871.0,142.0,0,0,0,0,104,200,119.09960697129699,238.19921394259399,0.0,2896.0,1102.7,1418.2049726483278,2011305.3444444446,1,2,0,5,8,0,0,0,2.0,1225.2222222222222,27.333333333333332,1824.1666666666667,0,0,0,11027,5,1899242,0,0,0,0,64240,128,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.100.20-192.168.100.10-53056-80-6,192.168.100.20,53056,192.168.100.10,80,6,22/06/2026 02:53:21 AM,24664,3,6,82.0,10945.0,82.0,0.0,27.333333333333332,47.34272207354931,2896.0,0.0,1824.1666666666665,1434.5028988003705,447088.874472916,364.90431397988976,3083.0,4379.804920639404,9954.0,2.0,20042.0,10021.0,162.63455967290594,10136.0,9906.0,24482.0,4896.4,8682.763517452264,20211.0,2.0,0,0,0,0,104,200,121.63477132662992,243.26954265325983,0.0,2896.0,1102.7,1418.2049726483278,2011305.3444444446,1,2,0,5,8,0,0,0,2.0,1225.2222222222222,27.333333333333332,1824.1666666666667,0,0,0,11027,5,2385763,0,0,0,0,64240,128,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
