Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.100.20-192.168.100.10-59332-80-6,192.168.100.20,59332,192.168.100.10,80,6,22/06/2026 02:54:28 AM,20425673,6,7,210.0,482.0,168.0,0.0,35.0,65.62926176637978,482.0,0.0,68.85714285714285,182.17887599044752,33.87893265499746,0.636453937160357,1702139.4166666667,4452630.911930904,1.5021514E7,1.0,1.5213068E7,3042613.6,6696930.073520875,1.5021541E7,1.0,2.0425636E7,3404272.6666666665,6055090.67187951,1.5021599E7,2.0,0,0,0,0,200,232,0.2937479709970878,0.34270596616326915,0.0,482.0,49.42857142857143,132.1436946810405,17461.95604395605,1,2,0,5,12,0,0,0,1.0,53.23076923076923,35.0,68.85714285714286,0,0,0,0,0,0,3,105,3,241,64240,128,4,32,95819.5,135389.02828700707,191554.0,85.0,1.0117016E7,6936007.58823172,1.5021514E7,5212518.0,NeedManualLabel
192.168.100.20-192.168.100.10-59338-80-6,192.168.100.20,59338,192.168.100.10,80,6,22/06/2026 02:54:28 AM,20424712,6,7,209.0,482.0,168.0,0.0,34.833333333333336,65.67318072597571,482.0,0.0,68.85714285714285,182.17887599044752,33.83156638879412,0.6364838828571977,1702059.3333333335,4450836.908585239,1.5015623E7,0.0,1.5212022E7,3042404.4,6697038.987889595,1.502154E7,0.0,2.0424702E7,3404117.0,6052309.314894241,1.5015775E7,170.0,0,0,0,0,200,232,0.2937617920879374,0.3427220907692603,0.0,482.0,49.357142857142854,132.16051263104688,17466.4010989011,1,2,0,5,12,0,0,0,1.0,53.15384615384615,34.833333333333336,68.85714285714286,0,0,0,0,0,0,3,104,3,241,64240,128,4,32,98275.5,138767.5844875164,196399.0,152.0,1.01139955E7,6931948.088200928,1.5015623E7,5212368.0,NeedManualLabel
192.168.100.20-192.168.100.10-59348-80-6,192.168.100.20,59348,192.168.100.10,80,6,22/06/2026 02:54:28 AM,20426573,6,7,210.0,482.0,168.0,0.0,35.0,65.59878047646923,482.0,0.0,68.85714285714285,182.17887599044752,33.87743994061069,0.6364258948380621,1702214.4166666665,4450970.238396393,1.5015306E7,1.0,1.5211042E7,3042208.4,6697144.161051433,1.502154E7,1.0,2.0426564E7,3404427.3333333335,6052481.587542539,1.5015578E7,89.0,0,0,0,0,200,232,0.2937350283867979,0.34269086645126423,0.0,482.0,49.42857142857142,132.1378733838924,17460.417582417584,1,2,0,5,12,0,0,0,1.0,53.23076923076923,35.0,68.85714285714286,0,0,0,0,0,0,3,105,3,241,64240,128,4,32,98004.0,138213.91987784734,195736.0,272.0,1.0115238E7,6929742.622150407,1.5015306E7,5215170.0,NeedManualLabel
192.168.100.20-192.168.100.10-59370-80-6,192.168.100.20,59370,192.168.100.10,80,6,22/06/2026 02:54:28 AM,20425933,6,7,210.0,482.0,168.0,0.0,35.0,65.59878047646923,482.0,0.0,68.85714285714285,182.17887599044752,33.87850141288528,0.6364458357911974,1702161.0833333333,4450777.34666875,1.5014476E7,1.0,1.5209377E7,3041875.4,6697319.1661573285,1.502154E7,1.0,2.042577E7,3404295.0,6052443.351207345,1.5015183E7,238.0,0,0,0,0,200,232,0.2937442319036296,0.3427016038875678,0.0,482.0,49.42857142857142,132.1378733838924,17460.417582417584,1,2,0,5,12,0,0,0,1.0,53.23076923076923,35.0,68.85714285714286,0,0,0,0,0,0,3,105,3,241,64240,128,4,32,97804.0,137315.8942657404,194901.0,707.0,1.01150435E7,6928843.889431519,1.5014476E7,5215611.0,NeedManualLabel
192.168.100.20-192.168.100.10-59394-80-6,192.168.100.20,59394,192.168.100.10,80,6,22/06/2026 02:54:28 AM,20423436,6,7,210.0,482.0,168.0,0.0,35.0,65.62926176637978,482.0,0.0,68.85714285714285,182.17887599044752,33.88264344941762,0.636523648616227,1701953.0,4450619.738115274,1.5013325E7,1.0,1.5205996E7,3041199.2,6693145.8260469865,1.5013348E7,1.0,2.042336E7,3403893.3333333335,6052416.06334104,1.5014315E7,2.0,0,0,0,0,200,232,0.29378014551518167,0.3427435031010453,0.0,482.0,49.42857142857143,132.1436946810405,17461.95604395605,1,2,0,5,12,0,0,0,1.0,53.23076923076923,35.0,68.85714285714286,0,0,0,0,0,0,3,105,3,241,64240,128,4,32,96830.5,135538.9349246186,192671.0,990.0,1.01148865E7,6927438.16115052,1.5013325E7,5216448.0,NeedManualLabel
192.168.100.20-192.168.100.10-59374-80-6,192.168.100.20,59374,192.168.100.10,80,6,22/06/2026 02:54:28 AM,20426168,6,7,210.0,482.0,168.0,0.0,35.0,65.62926176637978,482.0,0.0,68.85714285714285,182.17887599044752,33.8781116458065,0.6364385135772896,1702180.6666666667,4450698.647423495,1.5013929E7,17.0,1.520866E7,3041732.0,6697392.899399064,1.502154E7,373.0,2.0425899E7,3404316.5,6052373.374586923,1.5014748E7,125.0,0,0,0,0,200,232,0.2937408524202875,0.3426976611570021,0.0,482.0,49.42857142857143,132.1436946810405,17461.95604395605,1,2,0,5,12,0,0,0,1.0,53.23076923076923,35.0,68.85714285714286,0,0,0,0,0,0,3,105,3,241,64240,128,4,32,97775.0,137116.4901534458,194731.0,819.0,1.01152465E7,6927783.22925974,1.5013929E7,5216564.0,NeedManualLabel
192.168.100.20-192.168.100.10-59360-80-6,192.168.100.20,59360,192.168.100.10,80,6,22/06/2026 02:54:28 AM,20428446,6,7,211.0,482.0,168.0,0.0,35.166666666666664,65.55430318954406,482.0,0.0,68.85714285714285,182.17887599044752,33.92328520730358,0.6363675435713514,1702370.5,4451042.357349292,1.5015016E7,0.0,1.521025E7,3042050.0,6697227.4064584365,1.5021539E7,0.0,2.0428334E7,3404722.333333333,6052664.873406082,1.5015608E7,280.0,0,0,0,0,200,232,0.29370809703293144,0.34265944653842,0.0,482.0,49.50000000000001,132.12101096518123,17455.96153846154,1,2,0,5,12,0,0,0,1.0,53.30769230769231,35.166666666666664,68.85714285714286,0,0,0,0,0,0,3,105,3,241,64240,128,4,32,97913.0,137632.67810371198,195234.0,592.0,1.011617E7,6928014.453177188,1.5015016E7,5217324.0,NeedManualLabel
192.168.100.20-192.168.100.10-59408-80-6,192.168.100.20,59408,192.168.100.10,80,6,22/06/2026 02:54:28 AM,20424888,7,7,210.0,482.0,168.0,0.0,30.0,61.326992425847855,482.0,0.0,68.85714285714285,182.17887599044752,33.88023474106688,0.6854382751082895,1571145.2307692305,4287554.8976820335,1.5014099E7,0.0,2.0424798E7,3404133.0,6052641.233802645,1.5014393E7,0.0,2.0424775E7,3404129.1666666665,6052462.491247523,1.5014165E7,430.0,0,0,0,0,232,232,0.34271913755414474,0.34271913755414474,0.0,482.0,46.133333333333326,127.9692299325264,16376.123809523811,1,2,0,5,13,0,0,0,1.0,49.42857142857143,30.0,68.85714285714286,0,0,0,0,0,0,3,105,3,241,64240,128,4,32,96131.5,135857.13297615256,192197.0,66.0,1.01160975E7,6926820.149823763,1.5014099E7,5218096.0,NeedManualLabel
192.168.100.20-192.168.100.10-59426-80-6,192.168.100.20,59426,192.168.100.10,80,6,22/06/2026 02:54:28 AM,20424451,6,7,211.0,482.0,168.0,0.0,35.166666666666664,65.55430318954406,482.0,0.0,68.85714285714285,182.17887599044752,33.92992056432753,0.6364920163582365,1702037.5833333335,4450992.231875035,1.5013563E7,1.0,1.5204491E7,3040898.2,6693878.684263684,1.5014393E7,442.0,2.0424313E7,3404052.1666666665,6052601.023355873,1.5013802E7,1.0,0,0,0,0,200,232,0.29376554601149374,0.3427264703467427,0.0,482.0,49.50000000000001,132.12101096518123,17455.96153846154,1,2,0,5,12,0,0,0,1.0,53.30769230769231,35.166666666666664,68.85714285714286,0,0,0,0,0,0,3,105,3,241,64240,128,4,32,95583.5,134837.48499768157,190928.0,239.0,1.01166415E7,6925292.7991764005,1.5013563E7,5219720.0,NeedManualLabel
192.168.100.20-192.168.100.10-59380-80-6,192.168.100.20,59380,192.168.100.10,80,6,22/06/2026 02:54:28 AM,20428583,6,7,211.0,482.0,168.0,0.0,35.166666666666664,65.55430318954406,482.0,0.0,68.85714285714285,182.17887599044752,33.92305770791836,0.6363632759061164,1702381.9166666667,4450871.913750904,1.5013622E7,14.0,1.5207448E7,3041489.6,6697522.539006069,1.502154E7,241.0,2.0428394E7,3404732.3333333335,6052565.977426158,1.5014553E7,303.0,0,0,0,0,200,232,0.29370612734128454,0.3426571485648319,0.0,482.0,49.50000000000001,132.12101096518123,17455.96153846154,1,2,0,5,12,0,0,0,1.0,53.30769230769231,35.166666666666664,68.85714285714286,0,0,0,0,0,0,3,105,3,241,64240,128,4,32,97378.5,136397.3625569791,193826.0,931.0,1.01167615E7,6925206.532149095,1.5013622E7,5219901.0,NeedManualLabel
